surface,number of triangle
0.5,33
1.0,34
1.5,31
2.0,39
2.5,26
3.0,50
3.5,32
4.0,50
4.5,35
5.0,38
5.5,24
6.0,36
6.5,27
7.0,21
7.5,16
8.0,34
8.5,25
9.0,23
9.5,23
10.0,17
10.5,11
11.0,22
11.5,15
12.0,22
12.5,12
13.0,16
13.5,7
14.0,7
14.5,7
15.0,12
15.5,7
16.0,11
16.5,4
17.0,5
17.5,4
18.0,8
18.5,4
19.0,4
19.5,2
20.0,9
20.5,2
21.0,2
22.0,2
22.5,2
23.5,1
24.0,3
25.0,1
