surface,number of triangle
0.5,20
1.0,27
1.5,17
2.0,27
2.5,22
3.0,19
3.5,14
4.0,18
4.5,9
5.0,3
5.5,9
6.0,8
6.5,10
7.0,3
7.5,4
8.0,5
8.5,1
9.0,1
9.5,1
11.0,1
11.5,1
