surface,number of triangle
0.5,30
1.0,33
1.5,21
2.0,26
2.5,21
3.0,30
3.5,17
4.0,20
4.5,11
5.0,14
5.5,18
6.0,18
6.5,17
7.0,12
7.5,3
8.0,17
8.5,12
9.0,14
9.5,5
10.0,9
10.5,3
11.0,5
11.5,3
12.0,3
13.5,1
14.0,1
