x,y
6,10
0,5
3,8
6,0
11,8
5,1
8,9
9,2
4,0
11,9
9,6
10,2
1,7
0,4
3,10
2,5
7,7
4,3
1,1
10,4
5,11
7,6
8,11
2,3
