times
3,0588
1,4894
0,2372
1,2399
0,4620
1,1533
0,1064
1,8995
1,4875
2,4080
0,3876
0,2215
5,8542
0,5953
0,6278
0,4480
6,4183
0,2655
1,4528
0,4778
1,0261
0,4064
1,8560
0,0359
1,3671
1,0573
1,4274
0,4026
1,9512
0,8071
1,0819
0,9510
1,1786
0,2631
2,3738
0,5882
0,1473
1,9354
1,0240
4,0261
1,0428
1,7964
1,0690
0,6342
1,2996
0,0299
0,6547
0,3711
1,7041
0,1496
0,1709
4,8694
0,0558
0,8192
1,2415
1,8169
0,2256
0,6638
4,6327
3,0945
1,3572
0,2202
0,3327
2,0078
0,6670
0,8587
0,4452
2,4823
1,0548
2,1436
1,1171
0,3369
7,2927
0,1960
2,7816
3,1993
2,1799
0,6589
1,5341
1,0612
2,2381
2,4763
0,1549
0,2024
0,1270
1,5074
0,0304
0,9407
1,7287
0,3414
0,6114
10,4357
0,0615
3,7712
0,4108
2,9523
1,2001
1,4753
1,2432
1,5598
2,8837
0,9026
0,5455
1,3180
0,7823
0,1978
2,7415
2,4783
3,3141
2,8090
1,1988
0,5234
0,8362
0,0345
1,7357
3,7175
0,2170
0,2302
3,3433
0,4688
1,7897
0,0310
2,5050
1,5164
0,1794
0,3849
0,2613
0,2082
0,3575
2,2247
0,3121
0,3307
2,3869
3,0812
2,0279
1,2898
1,5245
0,4903
1,9244
0,3731
1,4018
1,9214
0,7065
1,1018
2,7098
2,8622
0,4891
3,9432
1,0351
7,4669
2,3683
0,2956
0,8216
0,4562
0,4144
9,4393
5,9510
0,0168
1,1069
0,5798
0,1431
0,5584
1,9494
1,9939
2,9726
0,4402
2,5976
1,0789
0,0481
2,4214
1,3243
1,3426
2,6687
2,8440
0,4575
0,4336
4,0359
0,0892
5,0437
1,0535
2,4287
0,4050
3,5878
2,2122
0,9742
3,0790
2,2259
0,7854
2,1462
0,7416
1,9526
1,5346
4,3648
2,1027
0,0394
0,1702
3,9516
0,3424
3,8086
0,2486
