surface,number of triangle
0.0,1
0.5,34
1.0,33
1.5,23
2.0,30
2.5,20
3.0,42
3.5,30
4.0,35
4.5,17
5.0,36
5.5,27
6.0,27
6.5,21
7.0,20
7.5,10
8.0,15
8.5,17
9.0,24
9.5,12
10.0,5
10.5,10
11.0,8
11.5,7
12.0,7
12.5,4
13.0,6
13.5,7
14.0,3
14.5,6
15.0,6
15.5,4
16.0,2
16.5,5
17.0,1
17.5,2
18.0,3
